# last latitude ; last longitude ; num of vlevs ; num of sfc vlevs ; name ; CMEMS code ; WMO code; time period; fields list ; quality flag value ; obs path tpl / name tpl ; 
42.07000;4.67000;86;2;Lion;6100002;6100002;2000-07-21,2021-12-31;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_6100002.nc;
#43.31890;4.86620;86;2;Mesurho;6100284;6100284;2019-01-01,2019-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_6100284_2019.nc;
#43.31890;4.86620;86;2;Mesurho;6100284;6100284;2020-01-01,2020-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_6100284_2020.nc;
#43.31890;4.86620;86;2;Mesurho;6100284;6100284;2021-01-01,2021-01-13;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_6100284_2021.nc;
43.31890;4.86620;86;2;Mesurho;6100284;6100284;2009-01-01,2021-01-13;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_6100284.nc;
43.02300;5.11300;2;0;Planier_-_mouillage_de_fond;6101023;6101023;2009-11-24,2012-08-01;HCDT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_6101023.nc;
42.25600;3.32800;3;0;Lacaze-Duthier_mouillage_de_fond;6101024;6101024;2009-11-24,2012-08-03;HCDT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_6101024.nc;
42.79500;6.16300;7;0;Antares_-_ligne_de_mouillage;ANTARES;6801000;2002-09-04,2016-04-04;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_ANTARES.nc;
43.41683;7.90067;39;1;EuroSITES_MOORING_DYFAMED;DYFAMED;68418;1995-06-12,2019-06-13;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_DYFAMED.nc;
42.80500;6.02900;1;0;Station_MII_-_EMSO;EXEM0001;_;2017-09-29,2021-01-08;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//GL_TS_MO_EXEM0001.nc;
41.8979;3.6462;3;2;Cabo_Begur_buoy;6100196;6100196;2001-03-27,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6100196.nc;
39.7095;4.419;3;2;Mahon_buoy;6100197;6100197;1993-04-29,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6100197.nc;
36.5689;-2.3395;3;2;Cabo_de_Gata_buoy;6100198;6100198;1998-03-27,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6100198.nc;
40.6865;1.4673;3;2;Tarragona_buoy;6100280;6100280;2004-08-20,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6100280.nc;
39.5132;0.202;3;2;Valencia_buoy;6100281;6100281;2005-09-15,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6100281.nc;
37.6528;-0.3088;3;2;Cabo_de_Palos_buoy;6100417;6100417;2006-07-18,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6100417.nc;
39.5615;2.0953;3;2;Dragonera_buoy;6100430;6100430;2006-11-29,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6100430.nc;
36.066;-5.416;3;2;Algeciras-Pta._Carnero_co;6101404;6101404;2010-11-11,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_6101404.nc;
36.267;-5.033;3;2;Alboran_buoy;Alboran-buoy;_;1997-02-16,2006-02-25;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_Alboran-buoy.nc;
36.216;-4.983;5;0;Alboran_current_meter;Alboran-current-meter;_;2000-12-08,2012-12-07;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_Alboran-current-meter.nc;
39.461;-0.26;3;2;Valencia_I_buoy;ValenciaI-buoy;_;2004-08-19,2005-09-17;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//IR_TS_MO_ValenciaI-buoy.nc;
45.6033;13.6717;22;4;ZARJA;6101628;6101628;2015-01-01,2021-08-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_6101628.nc;
45.6016;13.5354;22;4;ZORA;6101629;6101629;2015-01-01,2020-07-11;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_6101629.nc;
38.8245;0.783667;28;3;CANAL-DE-IBIZA;61141;61141;2013-09-26,2018-05-21;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_61141.nc;
35.7263;25.1307;19;2;_;61277;61277;2007-05-28,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_61277.nc;
39.4928;2.7004;22;8;BAHIA-DE-PALMA;61499;61499;2012-05-05,2020-09-30;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_61499.nc;
36.8288;21.6068;12;2;_;68422;68422;2007-11-09,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_68422.nc;
39.975;24.7294;17;3;_;ATHOS;6101003;2000-05-25,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_ATHOS.nc;
39.9998;3.83122;7;4;Station_Ciutadella;CIUTADELLA;_;2014-09-19,2019-01-31;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_CIUTADELLA.nc;
35.4342;25.0792;4;3;_;HERAKLION;_;2016-07-15,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_HERAKLION.nc;
36.971;22.094;7;2;_;KALAM;6101002;2007-05-11,2011-02-26;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_KALAM.nc;
40.728916;23.973534;11;2;_;Kariani;_;2019-04-15,2020-12-31;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_Kariani.nc;
